Keyword,Volume,KD,CPC,Opportunity Score,Difficulty,Intent,Primary Category,Cities,Long-Tail,Live Market,Tier,Word Count,Content Tier,Relevant,Relevance Note,Data Source
mason at van dorn,1600,37,1.3,1008.0,Medium,Commercial,General / Other,Alexandria,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
the reserve at eisenhower,1300,23,0.63,1001.0,Easy,Commercial,Out of Market,Alexandria,Yes,Yes,T1,4,Long Tail,No,Wrong market/submarket,Semrush
mount vernon square apartments,1300,28,1.15,936.0,Easy,Commercial,Out of Market,Alexandria,Yes,Yes,T1,4,Long Tail,No,Wrong market/submarket,Semrush
1111 belle pre apartments,1300,29,0.85,923.0,Easy,Commercial,Out of Market,Alexandria,Yes,Yes,T1,4,Long Tail,No,Wrong market/submarket,Semrush
the alexander apartments va,1300,29,1.19,923.0,Easy,Commercial,City + Apartments,Alexandria,Yes,Yes,T1,4,Long Tail,No,No local relevance,Semrush
alexandria apartment complexes,1600,43,1.17,912.0,Medium,Commercial,City + Apartments,Alexandria,No,Yes,T1,3,Long Tail,Yes,Local intent,Semrush
platform alexandria,1300,30,2.4,910.0,Easy,Commercial,General / Other,Alexandria,No,Yes,T1,2,Long Tail,Yes,Local intent,Semrush
the asher apartments alexandria,1300,33,1.56,871.0,Medium,Commercial,City + Apartments,Alexandria,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
carlyle crossing,1000,18,2.27,820.0,Easy,Commercial,Out of Market,Alexandria,No,Yes,T1,2,Long Tail,No,Wrong market/submarket,Semrush
sinclaire on seminary,1000,24,1.58,760.0,Easy,Navigational,Competitor (Sinclaire on Seminary),Alexandria,No,Yes,T1,3,Gap,Yes,Top competitor - comparison/gap,Semrush
apartments in alexandria,1300,42,1.17,754.0,Medium,Commercial,City + Apartments,Alexandria,No,Yes,T1,3,Long Tail,Yes,Local intent,Semrush
apartments for rent in alexandria va,1300,43,1.12,741.0,Medium,Commercial,City + Apartments,Alexandria,Yes,Yes,T1,6,Long Tail,Yes,Local intent,Semrush
maa carlyle square,1000,29,1.67,710.0,Easy,Commercial,Out of Market,Alexandria,No,Yes,T1,3,Long Tail,No,Wrong market/submarket,Semrush
elme alexandria,1000,30,0.97,700.0,Easy,Commercial,General / Other,Alexandria,No,Yes,T1,2,Long Tail,Yes,Local intent,Semrush
notch 8 apartments alexandria,880,21,1.94,695.2,Easy,Commercial,City + Apartments,Alexandria,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
the porter del ray,1000,32,1.78,680.0,Medium,Commercial,Out of Market,Alexandria,Yes,Yes,T1,4,Long Tail,No,Wrong market/submarket,Semrush
channel square apartments,880,24,1.22,668.8,Easy,Commercial,City + Apartments,Alexandria,No,Yes,T1,3,Long Tail,No,No local relevance,Semrush
apartments for rent alexandria va,1000,34,1.06,660.0,Medium,Commercial,City + Apartments,Alexandria,Yes,Yes,T1,5,Long Tail,Yes,Local intent,Semrush
mason at van dorn apartments,1000,34,1.33,660.0,Medium,Commercial,City + Apartments,Alexandria,Yes,Yes,T1,5,Long Tail,Yes,Local intent,Semrush
cameron station,880,28,0.34,633.6,Easy,Navigational,Competitor (Cameron Square/Station),Alexandria,No,Yes,T1,2,Gap,Yes,Top competitor - comparison/gap,Semrush
the square at 511 apartments,880,28,1.58,633.6,Easy,Commercial,City + Apartments,Alexandria,Yes,Yes,T1,5,Long Tail,No,No local relevance,Semrush
monticello lee alexandria,880,29,1.37,624.8,Easy,Commercial,General / Other,Alexandria,No,Yes,T1,3,Long Tail,Yes,Local intent,Semrush
the frasier alexandria,880,29,1.65,624.8,Easy,Commercial,General / Other,Alexandria,No,Yes,T1,3,Long Tail,Yes,Local intent,Semrush
foxchase apartments alexandria,1000,38,1.03,620.0,Medium,Navigational,Branded,Alexandria,No,Yes,T1,3,Quick Win,Yes,Own brand,Semrush
townhomes for rent alexandria va,720,15,0.63,612.0,Very Easy,Commercial,Property / Renter Type,Alexandria,Yes,Yes,T1,5,Long Tail,Yes,Local intent,Semrush
alexandria apartment,1300,54,1.13,598.0,Hard,Commercial,City + Apartments,Alexandria,No,Yes,T1,2,Long Tail,Yes,Local intent,Semrush
cameron station alexandria va,720,27,0.34,525.6,Easy,Navigational,Competitor (Cameron Square/Station),Alexandria,Yes,Yes,T1,4,Gap,Yes,Top competitor - comparison/gap,Semrush
monticello at southern towers,880,41,0.75,519.2,Medium,Navigational,Competitor (Southern Towers),Alexandria,Yes,Yes,T1,4,Gap,Yes,Top competitor - comparison/gap,Semrush
cameron place apartments,720,29,1.01,511.2,Easy,Navigational,Competitor (Cameron Square/Station),Alexandria,No,Yes,T1,3,Gap,Yes,Top competitor - comparison/gap,Semrush
the fields of alexandria,720,31,0.81,496.8,Medium,Navigational,Competitor (The Fields of Alexandria),Alexandria,Yes,Yes,T1,4,Gap,Yes,Top competitor - comparison/gap,Semrush
cameron court alexandria,720,34,1.92,475.2,Medium,Navigational,Competitor (Cameron Square/Station),Alexandria,No,Yes,T1,3,Gap,Yes,Top competitor - comparison/gap,Semrush
seminary towers apartments in alexandria va,590,20,1.11,472.0,Easy,Navigational,Competitor (Seminary Towers),Alexandria,Yes,Yes,T1,6,Gap,Yes,Top competitor - comparison/gap,Semrush
stoneridge at mark center apartment homes,720,37,0.75,453.6,Medium,Commercial,City + Apartments,Alexandria,Yes,Yes,T1,6,Long Tail,No,No local relevance,Semrush
riverside apartments alexandria va,590,24,1.05,448.4,Easy,Commercial,City + Apartments,Alexandria,Yes,Yes,T1,4,Long Tail,Yes,Local intent,Semrush
foxchase apartments alexandria va,720,38,0.88,446.4,Medium,Navigational,Branded,Alexandria,Yes,Yes,T1,4,Quick Win,Yes,Own brand,Semrush
apartments to rent in alexandria va,720,41,1.12,424.8,Medium,Commercial,City + Apartments,Alexandria,Yes,Yes,T1,6,Long Tail,Yes,Local intent,Semrush
cameron pointe apartments,590,28,0.98,424.8,Easy,Navigational,Competitor (Cameron Square/Station),Alexandria,No,Yes,T1,3,Gap,Yes,Top competitor - comparison/gap,Semrush
foxchase apartments alexandria va 22304,590,30,0.88,413.0,Easy,Navigational,Branded,Alexandria,Yes,Yes,T1,5,Quick Win,Yes,Own brand,Semrush
apartments in old town alexandria va,720,43,1.25,410.4,Medium,Commercial,City + Apartments,Alexandria,Yes,Yes,T1,6,Long Tail,Yes,Local intent,Semrush
alexandria virginia apartments,880,54,1.17,404.8,Hard,Commercial,City + Apartments,Alexandria,No,Yes,T1,3,Long Tail,Yes,Local intent,Semrush
efficiency apartments in alexandria va,480,19,1.07,388.8,Easy,Commercial,Bedroom Type,Alexandria,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
saratoga square apartments,590,35,1.42,383.5,Medium,Commercial,City + Apartments,Alexandria,No,Yes,T1,3,Long Tail,No,No local relevance,Semrush
the asher alexandria,590,37,1.56,371.7,Medium,Commercial,General / Other,Alexandria,No,Yes,T1,3,Long Tail,Yes,Local intent,Semrush
townhomes for rent in alexandria va,480,23,0.63,369.6,Easy,Commercial,Property / Renter Type,Alexandria,Yes,Yes,T2,6,Long Tail,Yes,Local intent,Semrush
cheap apartments in alexandria va,590,38,0.79,365.8,Medium,Commercial,Price / Budget,Alexandria,Yes,Yes,T1,5,Long Tail,Yes,Local intent,Semrush
apartments with quartz countertops,390,10,1.36,351.0,Very Easy,Commercial,Amenity,Alexandria,Yes,Yes,T2,4,Long Tail,Localize,National term - use city variant or FAQ,Semrush
fox chase apartment,480,32,0.92,326.4,Medium,Navigational,Branded,Alexandria,No,Yes,T2,3,Quick Win,Yes,Own brand,Semrush
affordable apartments in alexandria va,480,35,0.79,312.0,Medium,Commercial,Price / Budget,Alexandria,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
1 bedroom apartment in alexandria va,390,22,1.11,304.2,Easy,Commercial,Bedroom Type,Alexandria,Yes,Yes,T2,6,Long Tail,Yes,Local intent,Semrush
studio apartments alexandria va,390,22,1.0,304.2,Easy,Commercial,Bedroom Type,Alexandria,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
apartment complexes in alexandria va,480,37,1.17,302.4,Medium,Commercial,City + Apartments,Alexandria,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
luxury apartments alexandria va,480,42,2.1,278.4,Medium,Commercial,Luxury,Alexandria,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
foxchase apartments reviews,320,14,2.18,275.2,Very Easy,Navigational,Branded,Alexandria,No,Yes,T2,3,Quick Win,Yes,Own brand,Semrush
2 bedroom apartment in alexandria va,320,17,1.21,265.6,Easy,Commercial,Bedroom Type,Alexandria,Yes,Yes,T2,6,Long Tail,Yes,Local intent,Semrush
luxury apartments in alexandria va,390,33,2.15,261.3,Medium,Commercial,Luxury,Alexandria,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
studio apartments in alexandria va,260,22,1.07,202.8,Easy,Commercial,Bedroom Type,Alexandria,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
furnished apartments alexandria va,210,11,1.72,186.9,Very Easy,Commercial,Property / Renter Type,Alexandria,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
3 bedroom apartments alexandria va,210,16,1.34,176.4,Easy,Commercial,Bedroom Type,Alexandria,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
fox chase apartments waldorf md,170,21,1.12,134.3,Easy,Navigational,Branded,Alexandria,Yes,Yes,T2,5,Quick Win,Yes,Own brand,Semrush
apartments near fort belvoir,170,23,3.56,130.9,Easy,Transactional,Near Landmark,Alexandria,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
townhomes alexandria va,170,32,1.02,115.6,Medium,Commercial,Property / Renter Type,Alexandria,No,Yes,T2,3,Long Tail,Yes,Local intent,Semrush
cost of living alexandria va,140,26,0.83,103.6,Easy,Commercial,Price / Budget,Alexandria,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
pet friendly apartments alexandria va,110,13,1.82,95.7,Very Easy,Commercial,Pet Friendly,Alexandria,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
foxchase alexandria,140,34,1.98,92.4,Medium,Navigational,Branded,Alexandria,No,Yes,T2,2,Quick Win,Yes,Own brand,Semrush
foxchase apt,140,34,0.97,92.4,Medium,Navigational,Branded,Alexandria,No,Yes,T2,2,Quick Win,Yes,Own brand,Semrush
foxchase of alexandria,110,24,1.98,83.6,Easy,Navigational,Branded,Alexandria,No,Yes,T2,3,Quick Win,Yes,Own brand,Semrush
is alexandria va a good place to live,90,8,0.0,82.8,Very Easy,Informational,Renter Education,Alexandria,Yes,Yes,T2,8,Informational,Yes,Local intent,Semrush
apartments in fox chase,90,14,0.64,77.4,Very Easy,Navigational,Branded,Alexandria,Yes,Yes,T2,4,Quick Win,Yes,Own brand,Semrush
fox chase apartments reviews,90,23,0.5,69.3,Easy,Navigational,Branded,Alexandria,Yes,Yes,T2,4,Quick Win,Yes,Own brand,Semrush
apartments near pentagon,90,37,2.58,56.7,Medium,Transactional,Near Landmark,Alexandria,No,Yes,T2,3,Long Tail,Yes,Local intent,Semrush
average rent alexandria va,70,21,0.42,55.3,Easy,Commercial,Price / Budget,Alexandria,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
short term lease alexandria va,50,6,2.2,47.0,Very Easy,Commercial,Property / Renter Type,Alexandria,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
apartments near old town alexandria,70,36,2.05,44.8,Medium,Transactional,Near Landmark,Alexandria,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
apartments near van dorn metro,40,43,2.04,22.8,Medium,Transactional,Near Landmark,Alexandria,Yes,Yes,T2,5,Long Tail,Yes,Local intent,Semrush
apartments near amazon hq2,20,0,3.52,20.0,Very Easy,Transactional,Near Landmark,Alexandria,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
moving to alexandria va,20,0,23.73,20.0,Very Easy,Informational,Renter Education,Alexandria,Yes,Yes,T2,4,Informational,Yes,Local intent,Semrush
west end alexandria apartments,20,0,1.07,20.0,Very Easy,Commercial,City + Apartments,Alexandria,Yes,Yes,T2,4,Long Tail,Yes,Local intent,Semrush
1 bedroom apartments alexandria under 1500,0,0,0.0,0.0,Very Easy,Commercial,Address / Navigational,Alexandria,Yes,Yes,T2,6,Long Tail,No,No article intent,Generated (AEO)
1 bedroom apartments duke street corridor,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Alexandria,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
1 bedroom apartments for rent alexandria,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Alexandria,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
1 bedroom apartments near amazon hq2,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Alexandria,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
1 bedroom apartments near duke street,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Alexandria,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
1 bedroom apartments near fort belvoir,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Alexandria,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
1 bedroom apartments near old town alexandria,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Alexandria,Yes,Yes,T2,7,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
1 bedroom apartments near pentagon,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Alexandria,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
1 bedroom apartments near van dorn metro,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Alexandria,Yes,Yes,T2,7,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
1 bedroom apartments seminary hill,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Alexandria,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
1 bedroom apartments west end alexandria,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Alexandria,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
1 bedroom pet friendly apartments alexandria,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Alexandria,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
2 bedroom apartments alexandria under 1500,0,0,0.0,0.0,Very Easy,Commercial,Address / Navigational,Alexandria,Yes,Yes,T2,6,Long Tail,No,No article intent,Generated (AEO)
2 bedroom apartments duke street corridor,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Alexandria,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
2 bedroom apartments for rent alexandria,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Alexandria,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
2 bedroom apartments near old town alexandria,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Alexandria,Yes,Yes,T2,7,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
2 bedroom apartments near pentagon,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Alexandria,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
2 bedroom apartments near van dorn metro,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Alexandria,Yes,Yes,T2,7,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
2 bedroom apartments seminary hill,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Alexandria,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
2 bedroom apartments west end alexandria,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Alexandria,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
2 bedroom pet friendly apartments alexandria,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Alexandria,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
3 bedroom apartments alexandria under 1500,0,0,0.0,0.0,Very Easy,Commercial,Address / Navigational,Alexandria,Yes,Yes,T2,6,Long Tail,No,No article intent,Generated (AEO)
3 bedroom apartments for rent alexandria,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Alexandria,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
3 bedroom apartments near old town alexandria,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Alexandria,Yes,Yes,T2,7,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
3 bedroom apartments near pentagon,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Alexandria,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
3 bedroom apartments near van dorn metro,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Alexandria,Yes,Yes,T2,7,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
3 bedroom pet friendly apartments alexandria,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Alexandria,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
alexandria apartments with 24 hour fitness center,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Alexandria,Yes,Yes,T2,7,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
alexandria apartments with dog park,0,0,0.0,0.0,Very Easy,Commercial,Pet Friendly,Alexandria,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
alexandria apartments with in home washer and dryer,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Alexandria,Yes,Yes,T2,8,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
alexandria apartments with quartz countertops,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Alexandria,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
alexandria apartments with renovated interiors,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Alexandria,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
alexandria apartments with resort style pool,0,0,0.0,0.0,Very Easy,Commercial,Luxury,Alexandria,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
alexandria apartments with townhomes,0,0,0.0,0.0,Very Easy,Commercial,Property / Renter Type,Alexandria,Yes,Yes,T2,4,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
alexandria rent prices by neighborhood,0,0,0.0,0.0,Very Easy,Commercial,General / Other,Alexandria,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
all in cost of renting in alexandria,0,0,0.0,0.0,Very Easy,Commercial,General / Other,Alexandria,Yes,Yes,T2,7,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartment application fees alexandria,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Alexandria,Yes,Yes,T2,4,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartment vs townhome renting,0,0,0.0,0.0,Very Easy,Commercial,Property / Renter Type,Alexandria,Yes,Yes,T2,4,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments alexandria under 1200,0,0,0.0,0.0,Very Easy,Commercial,Address / Navigational,Alexandria,Yes,Yes,T2,4,Long Tail,No,No article intent,Generated (AEO)
apartments alexandria under 1500,0,0,0.0,0.0,Very Easy,Commercial,Address / Navigational,Alexandria,Yes,Yes,T2,4,Long Tail,No,No article intent,Generated (AEO)
apartments alexandria under 2000,0,0,0.0,0.0,Very Easy,Commercial,Address / Navigational,Alexandria,Yes,Yes,T2,4,Long Tail,No,No article intent,Generated (AEO)
apartments for commuters alexandria,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Alexandria,Yes,Yes,T2,4,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments for graduate students alexandria,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Alexandria,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments for pet owners alexandria,0,0,0.0,0.0,Very Easy,Commercial,Pet Friendly,Alexandria,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments for remote workers alexandria,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Alexandria,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments for travel nurses alexandria,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Alexandria,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments for young professionals alexandria,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Alexandria,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments in duke street corridor,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Alexandria,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments in seminary hill,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Alexandria,Yes,Yes,T2,4,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments in west end alexandria,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Alexandria,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments near duke street,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Alexandria,Yes,Yes,T2,4,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments that allow large dogs alexandria,0,0,0.0,0.0,Very Easy,Commercial,Pet Friendly,Alexandria,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with 24 hour fitness center alexandria,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Alexandria,Yes,Yes,T2,7,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with 24 hour fitness center duke street corridor,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Alexandria,Yes,Yes,T2,9,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with 24 hour fitness center west end alexandria,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Alexandria,Yes,Yes,T2,9,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with dog park alexandria,0,0,0.0,0.0,Very Easy,Commercial,Pet Friendly,Alexandria,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with dog park duke street corridor,0,0,0.0,0.0,Very Easy,Commercial,Pet Friendly,Alexandria,Yes,Yes,T2,7,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with dog park west end alexandria,0,0,0.0,0.0,Very Easy,Commercial,Pet Friendly,Alexandria,Yes,Yes,T2,7,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with in home washer and dryer alexandria,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Alexandria,Yes,Yes,T2,8,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with in home washer and dryer duke street corridor,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Alexandria,Yes,Yes,T2,10,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with in home washer and dryer west end alexandria,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Alexandria,Yes,Yes,T2,10,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
