Keyword,Volume,KD,CPC,Opportunity Score,Difficulty,Intent,Primary Category,Cities,Long-Tail,Live Market,Tier,Word Count,Content Tier,Relevant,Relevance Note,Data Source
apartments with rock climbing wall costa mesa,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Costa Mesa,Yes,Yes,T2,7,Long Tail,Yes,Unique amenity,Generated (Research)
apartments with rock climbing wall orange county,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Costa Mesa,Yes,Yes,T2,7,Long Tail,Yes,Regional unique amenity,Generated (Research)
apartments with movie theater costa mesa,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Costa Mesa,Yes,Yes,T2,6,Long Tail,Yes,Unique amenity,Generated (Research)
apartments with saltwater pool costa mesa,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Costa Mesa,Yes,Yes,T2,6,Long Tail,Yes,Saltwater pool,Generated (Research)
apartments with ev charging costa mesa,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Costa Mesa,Yes,Yes,T2,6,Long Tail,Yes,EV parking,Generated (Research)
apartments with ev charging orange county,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Costa Mesa,Yes,Yes,T2,6,Long Tail,Yes,Regional EV keyword,Generated (Research)
apartments with fireplace costa mesa,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Costa Mesa,Yes,Yes,T2,5,Long Tail,Yes,Interior feature,Generated (Research)
apartments with wine fridge costa mesa,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Costa Mesa,Yes,Yes,T2,6,Long Tail,Yes,Wine chiller,Generated (Research)
apartments with amphitheater costa mesa,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Costa Mesa,Yes,Yes,T2,5,Long Tail,Yes,Unique amenity,Generated (Research)
apartments with game room costa mesa,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Costa Mesa,Yes,Yes,T2,6,Long Tail,Yes,Amenity keyword,Generated (Research)
apartments with basketball court costa mesa,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Costa Mesa,Yes,Yes,T2,6,Long Tail,Yes,Amenity keyword,Generated (Research)
apartments with fitness classes costa mesa,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Costa Mesa,Yes,Yes,T2,6,Long Tail,Yes,Classes differentiator,Generated (Research)
apartments near segerstrom center costa mesa,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Costa Mesa,Yes,Yes,T2,6,Long Tail,Yes,Cultural landmark,Generated (Research)
apartments near south coast plaza,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Costa Mesa,Yes,Yes,T2,5,Long Tail,Yes,Shopping proximity,Generated (Research)
apartments near john wayne airport,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Costa Mesa,Yes,Yes,T2,5,Long Tail,Yes,Airport proximity,Generated (Research)
apartments near uci irvine,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Costa Mesa,Yes,Yes,T2,4,Long Tail,Yes,University proximity,Generated (Research)
pet friendly apartments costa mesa,0,0,0.0,0.0,Very Easy,Commercial,Pet Friendly,Costa Mesa,Yes,Yes,T2,5,Long Tail,Yes,Pet keyword,Generated (Research)
performing arts district apartments costa mesa,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Costa Mesa,Yes,Yes,T2,6,Long Tail,Yes,Neighborhood keyword,Generated (Research)
south coast metro apartments,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Costa Mesa,Yes,Yes,T2,4,Long Tail,Yes,Neighborhood keyword,Generated (Research)
penthouse apartments costa mesa,0,0,0.0,0.0,Very Easy,Commercial,Luxury,Costa Mesa,Yes,Yes,T2,4,Long Tail,Yes,Penthouse option,Generated (Research)
studio apartments costa mesa,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Costa Mesa,Yes,Yes,T2,4,Long Tail,Yes,Bedroom type,Generated (Research)
1 bedroom apartments costa mesa,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Costa Mesa,Yes,Yes,T2,5,Long Tail,Yes,Bedroom type,Generated (Research)
2 bedroom apartments costa mesa,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Costa Mesa,Yes,Yes,T2,5,Long Tail,Yes,Bedroom type,Generated (Research)
apartments 92626 costa mesa,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Costa Mesa,No,Yes,T2,4,Long Tail,Yes,Zip code search,Generated (Research)
apartments near newport beach costa mesa,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Costa Mesa,Yes,Yes,T2,6,Long Tail,Yes,Beach proximity,Generated (Research)
apartments near huntington beach costa mesa,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Costa Mesa,Yes,Yes,T2,6,Long Tail,Yes,Beach proximity,Generated (Research)
3400 avenue of the arts reviews,0,0,0.0,0.0,Very Easy,Navigational,Branded,Costa Mesa,Yes,Yes,T2,7,Quick Win,Yes,Brand reputation,Generated (AEO)
3400 avenue of the arts floor plans,0,0,0.0,0.0,Very Easy,Navigational,Branded,Costa Mesa,Yes,Yes,T2,7,Quick Win,Yes,Brand informational,Generated (AEO)
3400 avenue of the arts pricing,0,0,0.0,0.0,Very Easy,Navigational,Branded,Costa Mesa,Yes,Yes,T2,6,Quick Win,Yes,Brand transactional,Generated (AEO)
3400 avenue of the arts pet policy,0,0,0.0,0.0,Very Easy,Navigational,Branded,Costa Mesa,Yes,Yes,T2,7,Quick Win,Yes,Brand pet policy,Generated (AEO)
does 3400 avenue of the arts have a rock climbing wall,0,0,0.0,0.0,Very Easy,Navigational,Branded,Costa Mesa,Yes,Yes,T2,10,Quick Win,Yes,Unique amenity question,Generated (AEO)
3400 avenue of the arts vs 580 anton,0,0,0.0,0.0,Very Easy,Navigational,Branded,Costa Mesa,Yes,Yes,T2,8,Gap,Yes,Brand vs competitor,Generated (AEO)
3400 avenue of the arts vs lux costa mesa,0,0,0.0,0.0,Very Easy,Navigational,Branded,Costa Mesa,Yes,Yes,T2,9,Gap,Yes,Brand vs competitor,Generated (AEO)
3400 avenue of the arts vs costa verde village,0,0,0.0,0.0,Very Easy,Navigational,Branded,Costa Mesa,Yes,Yes,T2,9,Gap,Yes,Brand vs competitor,Generated (AEO)
what renters should know about 3400 avenue of the arts,0,0,0.0,0.0,Very Easy,Informational,Branded,Costa Mesa,Yes,Yes,T2,9,Informational,Yes,AEO article target,Generated (AEO)
living at 3400 avenue of the arts costa mesa,0,0,0.0,0.0,Very Easy,Informational,Branded,Costa Mesa,Yes,Yes,T2,9,Informational,Yes,AEO article target,Generated (AEO)
best luxury apartments costa mesa ca,0,0,0.0,0.0,Very Easy,Commercial,Luxury,Costa Mesa,Yes,Yes,T2,5,Long Tail,Yes,Luxury best-of,Generated (AEO)
apartments with unique amenities orange county,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Costa Mesa,Yes,Yes,T2,6,Long Tail,Yes,Unique amenities angle,Generated (AEO)
